CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcelId,lat,lng
01101855W4,2014,1855 BALFOUR DR,2014-05-29,Nuisance,Nuisance Closed w/Civil Penalty,2014-07-16,True,12456100,-84.5335622557729,38.0539762050312
01383804W2,2014,3804 BAY MEADOWS CT,2014-06-13,Nuisance,Nuisance Closed w/Civil Penalty,2014-07-16,True,25921494,-84.5578640477013,37.9825064829786
06760136W11,2014,136 FAIRLAWN AVE,2014-06-23,Nuisance,Nuisance Closed w/Civil Penalty,2015-01-22,True,15172400,-84.4779774298725,38.0580534883011
19890652W13,2014,652 N MARTIN LUTHER KING BLVD,2014-06-27,Nuisance,Closed Nuisance,2014-11-12,True,16384300,-84.4826068292604,38.0537247919276
19430141W19,2014,141 UNIVERSITY AVE,2014-06-30,Nuisance,Appealed-Nuisance,2014-07-16,False,12532900,-84.4758137333941,38.0598236503068
15350481W7,2014,481 POTOMAC DR,2014-07-01,Nuisance,Appealed-Nuisance,2014-07-16,False,21089400,-84.5342834853658,38.0106578381258
16011648SIGNS,2014,1648 RICHMOND RD,2014-07-15,Nuisance,Sign Closed-No Notice Required,2014-07-16,True,12172210,-84.476043654156,38.0270553166456
07840000SIGNS13,2014,0 GEORGETOWN ST,2014-07-14,Nuisance,Sign Closed-No Notice Required,2014-07-16,True,16185550,-84.5052432906018,38.0714970574737
08370000SIGNS9,2014,0 GREENDALE RD,2014-07-08,Nuisance,Sign Closed-No Notice Required,2014-07-16,True,10034360,-84.5326159632928,38.0813486572874
00230000SIGNS28,2014,0 ALEXANDRIA DR,2014-07-10,Nuisance,Sign Closed-No Notice Required,2014-07-16,True,14120628,-84.5521049046727,38.0508012783176
09510500-3,2014,500 HOLLOW CREEK RD POOL STRUCTURE,2014-05-20,Housing,Reinspection,2014-12-26,False,15751100,-84.4830669063967,38.0787362551053
13591157#A-2,2014,1157 MT RUSHMORE WAY #A,2014-07-13,Housing,Closed/Cancelled-No Response from Tenant,2014-07-16,True,20276659,-84.460280573802,37.9832882558165
11540409#2,2014,409 LENNEY DR,2014-07-15,Housing,Closed/Cancelled-No Response from Tenant,2014-07-16,True,22974500,-84.4642977472195,38.0723191439605
11070100#153-2,2014,100 LAKESHORE DR #153,2014-07-08,Housing,Closed/Cancelled-No Response from Tenant,2014-07-16,True,38031310,-84.5536099568469,38.0829527189943
